ID,Sessao,Hora do Evento,Fase,Nivel,Posicao jogador,Posicao Evento,Tipo de Evento
0,1,11:33:08,1,1,1,2,Criou Alvo
1,1,11:33:16,1,1,1,1,Criou Alvo
2,1,11:33:17,1,1,1,2,Colidiu com Alvo
3,1,11:33:18,1,1,0,1,Trocou de Pista
4,1,11:33:18,1,1,1,0,Trocou de Pista
5,1,11:33:24,1,1,1,2,Criou Alvo
6,1,11:33:25,1,1,1,1,Colidiu com Alvo
7,1,11:33:25,1,1,0,1,Trocou de Pista
8,1,11:33:26,1,1,1,0,Trocou de Pista
9,1,11:33:26,1,1,1,1,Controle UFE: Pause
10,1,11:34:13,1,1,1,2,Criou Alvo
11,1,11:34:17,1,1,2,1,Trocou de Pista
12,1,11:34:19,1,1,1,2,Trocou de Pista
13,1,11:34:20,1,1,2,1,Trocou de Pista
14,1,11:34:21,1,1,2,1,Criou Alvo
15,1,11:34:22,1,1,1,2,Colidiu com Alvo
16,1,11:34:23,1,1,1,2,Trocou de Pista
17,1,11:34:29,1,1,1,0,Criou Alvo
18,1,11:34:30,1,1,1,1,Colidiu com Alvo
19,1,11:34:31,1,1,0,1,Trocou de Pista
20,1,11:34:32,1,1,1,0,Trocou de Pista
21,1,11:34:33,1,1,0,1,Trocou de Pista
22,1,11:34:33,1,1,1,0,Trocou de Pista
23,1,11:34:33,1,1,0,1,Trocou de Pista
24,1,11:34:37,1,1,0,1,Criou Alvo
25,1,11:34:38,1,1,1,0,Colidiu com Alvo
26,1,11:34:39,1,1,1,0,Trocou de Pista
27,1,11:34:45,1,1,1,2,Criou Alvo
28,1,11:34:46,1,1,1,1,Colidiu com Alvo
29,1,11:34:49,1,1,2,1,Trocou de Pista
30,1,11:34:49,1,1,1,2,Trocou de Pista
31,1,11:34:50,1,1,2,1,Trocou de Pista
32,1,11:34:53,1,1,2,1,Criou Alvo
33,1,11:34:54,1,1,1,2,Colidiu com Alvo
34,1,11:34:56,1,1,1,2,Trocou de Pista
35,1,11:34:56,1,1,2,1,Trocou de Pista
36,1,11:34:56,1,1,1,2,Trocou de Pista
37,1,11:35:01,1,1,1,0,Criou Alvo
38,1,11:35:02,1,1,1,1,Colidiu com Alvo
39,1,11:35:04,1,1,0,1,Trocou de Pista
40,1,11:35:07,1,1,1,0,Trocou de Pista
41,1,11:35:09,1,1,1,1,Criou Alvo
42,1,11:35:10,1,1,0,1,Trocou de Pista
43,1,11:35:10,1,1,1,0,Colidiu com Alvo
44,1,11:35:11,1,1,1,0,Trocou de Pista
45,1,11:35:17,1,1,1,2,Criou Alvo
46,1,11:35:18,1,1,1,1,Colidiu com Alvo
47,1,11:35:23,1,1,2,1,Trocou de Pista
48,1,11:35:23,1,1,1,2,Trocou de Pista
49,1,11:35:23,1,1,2,1,Trocou de Pista
50,1,11:35:25,1,1,2,1,Criou Alvo
51,1,11:35:26,1,1,1,2,Colidiu com Alvo
52,1,11:35:27,1,1,1,2,Trocou de Pista
53,1,11:35:29,1,1,1,1,Controle UFE: Pause
