Sessao;Data;Hora Inicio;Hora Fim;Fase Alcancada;Nivel Alcancado;Qt Acertos sem Ajuda;Qt Acertos com Ajuda;Qt Ajudas;Qt Erros;Qt Omissões
1;2023-08-07;19:06:48.040870;19:07:32.573206;1;2;3;0;1;0;0
2;2023-08-07;19:27:20.225536;19:28:12.352535;2;1;3;0;2;0;0
4;2023-08-07;20:09:10.629497;20:09:27.778804;2;1;0;0;0;0;0
5;2023-08-07;20:21:22.829624;20:22:14.146751;2;2;6;0;0;0;0
6;2023-08-07;20:23:03.769189;20:23:43.034098;2;1;3;0;0;0;0
7;2023-08-07;20:35:18.365568;20:36:43.754236;2;1;3;0;0;1;0
8;2023-08-07;20:38:46.865507;20:40:19.491682;2;2;3;3;3;1;0
9;2023-08-07;20:42:29.872788;20:45:21.258129;8;2;3;3;5;9;1
10;2023-08-07;20:53:25.169206;20:54:24.925096;1;1;2;0;0;0;0
11;2023-08-07;20:56:35.371114;20:58:13.320737;2;1;10;0;1;1;0
12;2023-08-07;21:00:53.537254;21:02:03.331292;2;2;8;0;2;0;0
13;2023-08-07;21:03:45.615759;21:05:03.855712;2;1;6;0;1;0;1
14;2023-08-07;21:12:20.100152;21:12:53.755244;2;1;0;0;0;0;0
15;2023-08-07;21:16:38.131649;21:17:34.558803;2;2;6;0;0;0;0
16;2023-08-07;21:20:47.277469;21:22:15.708129;3;1;12;0;0;0;0
17;2023-08-07;21:54:00.934425;21:54:41.653368;1;1;0;0;1;0;0
18;2023-08-07;21:56:13.318451;21:56:52.187761;1;1;0;0;1;0;0
19;2023-08-07;21:59:26.462689;21:59:57.814452;1;1;1;0;0;0;0
20;2023-08-07;22:01:30.525640;22:02:36.572798;2;1;6;0;0;0;0
21;2024-06-13;20:14:24.396380;20:24:30.663938;2;1;4;0;2;0;2
22;2024-06-13;20:25:39.834322;20:27:36.257860;2;1;2;0;0;0;1
23;2024-06-13;20:28:25.593092;20:34:56.522092;2;2;9;0;0;3;1
24;2024-12-16;18:41:14.877306;18:41:35.128291;2;2;0;0;0;0;0
