ID;Sessao;Hora do Evento;Fase;Nivel;Posicao jogador;Posicao Evento;Tipo de Evento
0;1;21:56:35;1;1;1;1;Criou Alvo
1;1;21:56:35;1;1;0;1;Trocou de Pista
2;1;21:56:36;1;1;1;0;Trocou de Pista
3;1;21:56:43;1;1;1;0;Criou Alvo
4;1;21:56:44;1;1;1;1;Colidiu com Alvo
5;1;21:56:47;1;1;0;1;Trocou de Pista
6;1;21:56:51;1;1;0;1;Criou Alvo
7;1;21:56:52;1;1;1;0;Colidiu com Alvo
8;1;21:56:54;1;1;1;0;Trocou de Pista
9;1;21:56:59;1;1;1;0;Criou Alvo
10;1;21:57:00;1;1;1;1;Colidiu com Alvo
11;1;21:57:02;1;1;0;1;Trocou de Pista
12;1;21:57:07;1;1;0;1;Criou Alvo
13;1;21:57:08;1;1;1;0;Colidiu com Alvo
14;1;21:57:11;1;1;1;0;Trocou de Pista
15;1;21:57:15;1;1;1;2;Criou Alvo
16;1;21:57:16;1;1;1;1;Colidiu com Alvo
17;1;21:57:23;1;1;1;1;Criou Alvo
18;1;21:57:25;1;1;1;2;Desviou de Alvo
19;1;21:57:29;1;1;0;1;Trocou de Pista
20;1;21:57:30;1;1;1;0;Trocou de Pista
21;1;21:57:30;1;1;0;1;Trocou de Pista
22;1;21:57:30;1;1;1;0;Trocou de Pista
23;1;21:57:31;1;1;1;2;Criou Alvo
24;1;21:57:32;1;1;1;1;Colidiu com Alvo
25;1;21:57:36;1;1;2;1;Trocou de Pista
26;1;21:57:39;1;1;2;1;Criou Alvo
27;1;21:57:41;1;1;1;2;Colidiu com Alvo
28;1;21:57:42;1;1;1;2;Trocou de Pista
29;1;21:57:47;1;1;1;2;Criou Alvo
30;1;21:57:48;1;1;1;1;Colidiu com Alvo
31;1;21:57:51;1;1;2;1;Trocou de Pista
32;1;21:57:55;1;1;2;1;Criou Alvo
33;1;21:57:57;1;1;1;2;Colidiu com Alvo
34;1;21:57:58;1;1;1;2;Trocou de Pista
35;1;21:57:59;1;1;0;1;Trocou de Pista
36;1;21:58:01;1;1;1;0;Trocou de Pista
37;1;21:58:01;1;1;0;1;Trocou de Pista
38;1;21:58:02;1;1;1;0;Trocou de Pista
39;1;21:58:03;1;1;1;0;Criou Alvo
40;1;21:58:04;1;1;1;1;Controle UFE: Desabilita Som
41;1;21:58:05;1;1;1;1;Colidiu com Alvo
42;1;21:58:07;1;1;0;1;Trocou de Pista
43;1;21:58:11;1;1;0;1;Criou Alvo
44;1;21:58:13;1;1;1;0;Colidiu com Alvo
45;1;21:58:15;1;1;1;0;Trocou de Pista
46;1;21:58:21;1;1;1;1;Colidiu com Alvo
47;1;21:58:35;1;1;1;1;Controle Jogo: Avanca Nivel
